what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1333419548167
arch,sysinfo,,,"x86",1333419548167
ws,sysinfo,,,"win32",1333419548167
locale,sysinfo,,,"en_CA",1333419548167
processors,sysinfo,,,"2",1333419548167
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333419548167
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1333419548167
java.specification.name,sysinfo,,,"Java Platform API Specification",1333419548167
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333419548167
java.specification.version,sysinfo,,,"1.6",1333419548167
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1333419548167
java.version,sysinfo,,,"1.6.0_21",1333419548167
java.vm.info,sysinfo,,,"mixed mode, sharing",1333419548167
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333419548167
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333419548167
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333419548167
java.vm.specification.version,sysinfo,,,"1.0",1333419548167
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1333419548167
java.vm.version,sysinfo,,,"17.0-b17",1333419548167
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.I20110504-0744,"org.eclipse.mylyn.commons.net",1333419548292
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.I20110504-0744,"org.eclipse.mylyn.commons.ui",1333419548463
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.I20110504-0744,"org.eclipse.mylyn.bugzilla.core",1333419548822
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.I20110504-0744,"org.eclipse.mylyn.bugzilla.ui",1333419549446
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1333419549836
started,bundle,org.eclipse.mylyn.context.core,3.6.0.I20110504-0744,"org.eclipse.mylyn.context.core",1333419549898
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.I20110504-0744,"org.eclipse.mylyn.context.ui",1333419549914
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.I20110504-0744,"org.eclipse.mylyn.tasks.ui",1333419550335
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.I20110504-0744,"org.eclipse.mylyn.team.ui",1333419550429
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1333419550444
