what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333234260085
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333234263111
executed,command,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.project.cleanAction",1333234263127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333234263501
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333234267464
started,bundle,com.ti.ccstudio.binaryparser,5.1.0.201106301400,"com.ti.ccstudio.binaryparser",1333234269991
activated,view,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.views.ProblemView",1333234283126
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333234288305
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.copy",1333234302532
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333234305309
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333234946236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235026880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235044301
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235072071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235239950
started,bundle,org.eclipse.compare,3.5.200.I20110419-0800,"org.eclipse.compare",1333235257195
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.copy",1333235258885
activated,view,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.views.ProblemView",1333235267304
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333235276330
started,bundle,org.eclipse.rtsc.xdctools.ui.contentassist,3.22.1.21,"org.eclipse.rtsc.xdctools.ui.contentassist",1333235282001
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.copy",1333235285691
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235291289
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235332151
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235334205
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235366814
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235373635
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235375870
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235377282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235379726
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235390186
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235395552
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235396751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235398401
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235401766
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235428906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235714820
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235723001
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235734619
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333235736528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235740428
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235742635
executed,command,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.project.cleanAction",1333235742649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235742945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235743568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235767904
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235810761
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235817085
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235834166
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333235839711
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.copy",1333235844189
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235845636
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235888074
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235894831
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235896467
executed,command,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.project.cleanAction",1333235896479
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235896811
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235897310
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235929043
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235935806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235949635
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235972925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235979763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235986103
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333235988722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236038267
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236042364
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236043887
executed,command,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.project.cleanAction",1333236043901
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236044238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236044720
activated,view,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.views.ProblemView",1333236097733
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333236097910
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.copy",1333236104030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236107366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236186880
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333236188838
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236192367
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236193989
executed,command,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.project.cleanAction",1333236194002
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236194309
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236194797
activated,view,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.views.ProblemView",1333236205136
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333236207009
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.copy",1333236213378
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236215066
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236296723
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333236298164
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236302148
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236303674
executed,command,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.project.cleanAction",1333236303686
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236303993
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236304401
activated,view,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.views.ProblemView",1333236321721
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333236324402
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.copy",1333236329885
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.copy",1333236405115
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236410154
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236544721
activated,view,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.views.ProblemView",1333236546990
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333236547164
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.copy",1333236555147
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236560147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236818119
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333236819736
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236838511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236840269
executed,command,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.project.cleanAction",1333236840284
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236840589
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236841064
activated,view,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.views.ProblemView",1333236853342
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333236853548
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.copy",1333236859026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236862753
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333236972150
