what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333195584258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333195584320
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333195599982
activated,view,org.eclipse.ui.console,3.5.100.v20110413,"org.eclipse.ui.console.ConsoleView",1333195608469
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333195610871
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333195617969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333195619935
executed,command,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.project.cleanAction",1333195619950
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333195620262
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333195621074
activated,view,org.eclipse.ui.console,3.5.100.v20110413,"org.eclipse.ui.console.ConsoleView",1333195636065
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333195642836
activated,view,org.eclipse.ui.console,3.5.100.v20110413,"org.eclipse.ui.console.ConsoleView",1333195653693
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333195670697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333195676516
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333195684737
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110427-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1333195684737
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.delete",1333195684737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333195696547
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333195696578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333195696593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333195699994
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110427-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1333195700010
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.delete",1333195700010
activated,view,org.eclipse.ui.console,3.5.100.v20110413,"org.eclipse.ui.console.ConsoleView",1333195748074
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333195753768
opened,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1333195754064
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1333195754095
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333195781255
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1333195787916
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333195789086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333195791348
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333195799257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333195799304
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333195801363
activated,view,org.eclipse.ui.console,3.5.100.v20110413,"org.eclipse.ui.console.ConsoleView",1333195826448
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333195831549
opened,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1333195831908
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1333195831924
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333195854481
