what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110427-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1333215041970
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.delete",1333215041970
closed,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1333215041975
closed,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1333215041991
error,log,,,"Core exception while retrieving the content description",1333215050315
error,log,,,"Core exception while retrieving the content description",1333215050320
error,log,,,"Core exception while retrieving the content description",1333215050367
error,log,,,"Core exception while retrieving the content description",1333215050372
error,log,,,"Core exception while retrieving the content description",1333215050378
error,log,,,"Core exception while retrieving the content description",1333215050383
error,log,,,"Core exception while retrieving the content description",1333215050388
error,log,,,"Core exception while retrieving the content description",1333215050394
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215052559
closed,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333215054616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215054644
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110427-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1333215054661
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.delete",1333215054661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215066758
closed,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1333215070028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215070054
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110427-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1333215070071
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.delete",1333215070071
closed,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333215070072
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215078775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215100711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215138682
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215180017
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215180081
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215184093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215192217
closed,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333215196800
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215196824
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110427-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1333215196838
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.delete",1333215196838
activated,view,org.eclipse.ui.console,3.5.100.v20110413,"org.eclipse.ui.console.ConsoleView",1333215212356
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215224368
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215408596
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333215411420
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215415916
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215448431
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.properties",1333215448455
opened,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1333215467349
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1333215467383
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333215476721
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215478441
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1333215485201
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215485266
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.properties",1333215485306
activated,view,org.eclipse.ui.console,3.5.100.v20110413,"org.eclipse.ui.console.ConsoleView",1333215503611
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1333215511566
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333215518014
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215519555
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1333215525254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215525305
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.properties",1333215525320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215528048
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215529719
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215529904
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215531942
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215532161
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215534039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215539747
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215541367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215541499
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215544260
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333215544483
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201105021546,"org.eclipse.cdt.build.crossgcc",1333215544924
