what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1333450295925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333450592559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333450616131
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333450619423
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333452302014
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333452317146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333452418122
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333452421694
started,bundle,com.ti.ccstudio.binaryparser,5.1.0.201106301400,"com.ti.ccstudio.binaryparser",1333452421725
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333452425469
activated,view,org.eclipse.debug.ui,3.7.0.v20110411,"org.eclipse.debug.ui.BreakpointView",1333452436358
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333452438714
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333452480460
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333452572141
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333452780838
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333452790073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333452790089
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333452790104
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333452791805
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.I20110504-0744,"org.eclipse.cdt.mylyn.ui",1333452792117
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333452792366
started,bundle,org.eclipse.compare,3.5.200.I20110419-0800,"org.eclipse.compare",1333452792710
error,log,,,"Unhandled event loop exception",1333452796298
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201105021546,"org.eclipse.cdt.build.crossgcc",1333452796391
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201105021546,"org.eclipse.cdt.codan.checkers",1333452796391
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201105021546,"org.eclipse.cdt.codan.checkers.ui",1333452796625
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201105021546,"org.eclipse.cdt.codan.ui.cxx",1333452796641
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201105021546,"org.eclipse.cdt.codan.core.cxx",1333452796641
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201105021546,"org.eclipse.cdt.launch.remote",1333452796641
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201105021546,"org.eclipse.cdt.debug.mi.ui",1333452796641
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.0.201105021546,"org.eclipse.cdt.debug.mi.core",1333452796641
stopped,bundle,com.ti.ccstudio.branding,5.1.0.201106301400,"com.ti.ccstudio.branding",1333452796641
stopped,bundle,com.ti.ccstudio.debug.ui.msp430,5.1.0.201106301400,"com.ti.ccstudio.debug.ui.msp430",1333452796656
stopped,bundle,com.ti.ccstudio.leru,5.1.0.201106301400,"com.ti.ccstudio.leru",1333452796656
stopped,bundle,com.ti.ccstudio.multi.purpose.view.contributors,5.1.0.201106301400,"com.ti.ccstudio.multi.purpose.view.contributors",1333452796656
stopped,bundle,com.ti.ccstudio.multi.purpose.view,5.1.0.201106301400,"com.ti.ccstudio.multi.purpose.view",1333452796656
stopped,bundle,com.ti.dvt.scripting.ui,3.1.0.201106101153,"com.ti.dvt.scripting.ui",1333452796656
stopped,bundle,com.ti.ccstudio.scripting.gss,5.1.0.201106301400,"com.ti.ccstudio.scripting.gss",1333452796656
stopped,bundle,com.ti.ccstudio.pin.port.connect,5.1.0.201106301400,"com.ti.ccstudio.pin.port.connect",1333452796672
stopped,bundle,com.ti.ccstudio.scripting.dss,5.1.0.201106301400,"com.ti.ccstudio.scripting.dss",1333452796672
stopped,bundle,com.ti.ccstudio.system.hotmenu,5.1.0.201106301400,"com.ti.ccstudio.system.hotmenu",1333452796672
stopped,bundle,com.ti.dvt.control.gui,3.1.0.201106101153,"com.ti.dvt.control.gui",1333452796672
stopped,bundle,com.ti.uia.sessionmgr.view,3.1.0.201106101153,"com.ti.uia.sessionmgr.view",1333452796672
stopped,bundle,com.ti.uia.autostart.view,3.1.0.201106101153,"com.ti.uia.autostart.view",1333452796672
stopped,bundle,com.ti.uia.transport.monitor,3.1.0.201106101153,"com.ti.uia.transport.monitor",1333452796688
stopped,bundle,com.ti.dvt.uia,3.1.0.201106101153,"com.ti.dvt.uia",1333452796688
stopped,bundle,com.ti.dvt.control.engine,3.1.0.201106101153,"com.ti.dvt.control.engine",1333452796688
stopped,bundle,com.ti.dvt.profile.setup.ui,4.0.0.201106101153,"com.ti.dvt.profile.setup.ui",1333452796688
stopped,bundle,com.ti.dvt.coverageplugin,3.1.0.201106101153,"com.ti.dvt.coverageplugin",1333452796688
stopped,bundle,com.ti.dvt.rta,3.1.0.201106101153,"com.ti.dvt.rta",1333452796688
stopped,bundle,com.ti.bios.rta,5.41.10.36,"com.ti.bios.rta",1333452796703
stopped,bundle,com.ti.rta,3.22.1.21,"com.ti.rta",1333452796703
stopped,bundle,com.ti.dvt.server,3.22.1.21,"com.ti.dvt.server",1333452796703
stopped,bundle,com.ti.rta.support,3.22.1.21,"com.ti.rta.support",1333452796703
stopped,bundle,com.ti.dvt.trace.control,3.1.0.201106101153,"com.ti.dvt.trace.control",1333452796703
stopped,bundle,com.ti.dvt.ccstudioideadapter,3.1.0.201106101153,"com.ti.dvt.ccstudioideadapter",1333452796703
stopped,bundle,com.ti.ccstudio.debug.ui,5.1.0.201106301400,"com.ti.ccstudio.debug.ui",1333452796719
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201105021546,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1333452796719
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201105021546,"org.eclipse.cdt.debug.ui.memory.search",1333452796719
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201105021546,"org.eclipse.cdt.dsf.gdb.ui",1333452796719
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.0.201105021546,"org.eclipse.cdt.dsf.ui",1333452796734
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201105021546,"org.eclipse.cdt.gdb.ui",1333452796734
