what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166012271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166018402
error,log,,,"Referenced part does not exist yet: org.eclipse.cdt.ui.CView.",1333166018418
opened,view,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.views.ProblemView",1333166018620
activated,perspective,com.ti.ccstudio.ui,5.1.0.201106301400,"com.ti.ccstudio.TICPerspective",1333166018652
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.perspectives.showPerspective",1333166018808
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.perspectives.showPerspective",1333166018808
started,bundle,com.ti.ccstudio.ui.forms,5.1.0.201106301400,"com.ti.ccstudio.ui.forms",1333166031584
opened,view,com.ti.ccstudio.system.setup.ui,5.1.0.201106301400,"com.ti.ccstudio.system.setup.ui.views.TargetConfigurationView",1333166031646
activated,view,com.ti.ccstudio.system.setup.ui,5.1.0.201106301400,"com.ti.ccstudio.system.setup.ui.views.TargetConfigurationView",1333166031693
executed,command,com.ti.ccstudio.debug.ui,5.1.0.201106301400,"com.ti.ccstudio.debug.ui.command.launchSelectedConfig",1333166038308
started,bundle,com.ti.ccstudio.lerm,5.1.0.201106301400,"com.ti.ccstudio.lerm",1333166038744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166039212
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166039727
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.0.201105021546,"org.eclipse.cdt.dsf.gdb",1333166040180
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166053830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166106090
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166106963
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166110645
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166111409
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166111456
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201105021546,"org.eclipse.cdt.dsf.gdb.ui",1333166111628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166111643
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166115855
started,bundle,com.ti.dvt.profileanalysismanagerplugin,3.1.0.201106101153,"com.ti.dvt.profileanalysismanagerplugin",1333166119615
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166149536
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166152484
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333166152515
opened,view,org.eclipse.debug.ui,3.7.0.v20110411,"org.eclipse.debug.ui.DebugView",1333166153015
started,bundle,com.ti.ccstudio.ui.cheatsheets,5.1.0.201106301400,"com.ti.ccstudio.ui.cheatsheets",1333166153015
opened,view,org.eclipse.debug.ui,3.7.0.v20110411,"org.eclipse.debug.ui.VariableView",1333166153155
activated,perspective,com.ti.ccstudio.ui,5.1.0.201106301400,"com.ti.ccstudio.TIDebugPerspective",1333166153202
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.perspectives.showPerspective",1333166153249
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.perspectives.showPerspective",1333166153249
started,bundle,com.ti.ccstudio.leru,5.1.0.201106301400,"com.ti.ccstudio.leru",1333166153405
activated,view,org.eclipse.debug.ui,3.7.0.v20110411,"org.eclipse.debug.ui.DebugView",1333166163498
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166172156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166177569
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166177632
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166181922
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166182670
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166182733
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166182811
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166186305
executed,command,org.eclipse.debug.ui,3.7.0.v20110411,"org.eclipse.debug.ui.commands.Terminate",1333166193559
activated,view,com.ti.ccstudio.system.setup.ui,5.1.0.201106301400,"com.ti.ccstudio.system.setup.ui.views.TargetConfigurationView",1333166204807
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166210719
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166212607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166237629
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166284975
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166285381
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166285475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166287955
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1333166294913
activated,view,org.eclipse.debug.ui,3.7.0.v20110411,"org.eclipse.debug.ui.DebugView",1333166302120
activated,view,com.ti.ccstudio.system.setup.ui,5.1.0.201106301400,"com.ti.ccstudio.system.setup.ui.views.TargetConfigurationView",1333166302915
opened,view,org.eclipse.debug.ui,3.7.0.v20110411,"org.eclipse.debug.ui.ExpressionView",1333166305411
activated,view,org.eclipse.debug.ui,3.7.0.v20110411,"org.eclipse.debug.ui.DebugView",1333166308656
executed,command,org.eclipse.debug.ui,3.7.0.v20110411,"org.eclipse.debug.ui.commands.Resume",1333166308750
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333166318157
opened,view,org.eclipse.debug.ui,3.7.0.v20110411,"org.eclipse.debug.ui.BreakpointView",1333166322478
activated,view,org.eclipse.debug.ui,3.7.0.v20110411,"org.eclipse.debug.ui.BreakpointView",1333166322540
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1333166322540
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333166322603
started,bundle,org.eclipse.rtsc.xdctools.ui.contentassist,3.22.1.21,"org.eclipse.rtsc.xdctools.ui.contentassist",1333166379371
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333166389339
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333166406890
activated,view,org.eclipse.debug.ui,3.7.0.v20110411,"org.eclipse.debug.ui.BreakpointView",1333166416172
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1333166416172
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333166416250
activated,view,org.eclipse.debug.ui,3.7.0.v20110411,"org.eclipse.debug.ui.BreakpointView",1333166422115
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333166426748
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1333166426904
activated,view,org.eclipse.debug.ui,3.7.0.v20110411,"org.eclipse.debug.ui.BreakpointView",1333166434455
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1333166434455
activated,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1333166439353
