what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1333166528695
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110427-0800,"org.eclipse.ltk.ui.refactoring",1333166528695
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.I20110504-0744,"org.eclipse.mylyn.bugzilla.ui",1333166528695
stopped,bundle,org.eclipse.mylyn.ide.ui,3.6.0.I20110504-0744,"org.eclipse.mylyn.ide.ui",1333166528695
stopped,bundle,org.eclipse.mylyn.resources.ui,3.6.0.I20110504-0744,"org.eclipse.mylyn.resources.ui",1333166528695
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.I20110504-0744,"org.eclipse.mylyn.wikitext.tasks.ui",1333166528695
stopped,bundle,org.eclipse.mylyn.context.ui,3.6.0.I20110504-0744,"org.eclipse.mylyn.context.ui",1333166528695
stopped,bundle,org.eclipse.mylyn.help.ui,3.6.0.I20110504-0744,"org.eclipse.mylyn.help.ui",1333166528695
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.6.0.I20110504-0744,"org.eclipse.mylyn.tasks.bugs",1333166528695
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.I20110504-0744,"org.eclipse.mylyn.tasks.ui",1333166528695
stopped,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110423-0725,"org.eclipse.team.cvs.ui",1333166528695
stopped,bundle,org.eclipse.team.ui,3.6.100.I20110419-0800,"org.eclipse.team.ui",1333166528695
stopped,bundle,com.ti.ccstudio.controlsuite,5.1.0.201106301400,"com.ti.ccstudio.controlsuite",1333166528695
stopped,bundle,com.ti.ccstudio.resource.explorer,5.1.0.201106301400,"com.ti.ccstudio.resource.explorer",1333166528695
stopped,bundle,org.eclipse.compare,3.5.200.I20110419-0800,"org.eclipse.compare",1333166528695
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20110214,"org.eclipse.ui.externaltools",1333166528695
stopped,bundle,org.eclipse.debug.ui,3.7.0.v20110411,"org.eclipse.debug.ui",1333166528710
stopped,bundle,org.eclipse.rse.subsystems.files.dstore,2.1.200.v201103011700,"org.eclipse.rse.subsystems.files.dstore",1333166528710
stopped,bundle,org.eclipse.rse.subsystems.processes.dstore,2.1.300.v201101042155,"org.eclipse.rse.subsystems.processes.dstore",1333166528710
stopped,bundle,org.eclipse.rse.subsystems.shells.dstore,2.1.300.v201101042155,"org.eclipse.rse.subsystems.shells.dstore",1333166528710
stopped,bundle,org.eclipse.rse.connectorservice.dstore,3.1.200.v201103141607,"org.eclipse.rse.connectorservice.dstore",1333166528710
stopped,bundle,org.eclipse.rse.dstore.security,3.0.300.v201103141607,"org.eclipse.rse.dstore.security",1333166528710
