what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417074255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417079793
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.properties",1334417079809
activated,view,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.views.ProblemView",1334417080995
activated,view,org.eclipse.ui.console,3.5.100.v20110413,"org.eclipse.ui.console.ConsoleView",1334417088951
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1334417091150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417092975
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417102070
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.properties",1334417102086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417105050
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417107406
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.properties",1334417107421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417110900
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417127935
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.properties",1334417127951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417130712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417133239
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.properties",1334417133255
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417135642
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417141601
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.file.properties",1334417141616
activated,view,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.views.ProblemView",1334417150789
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1334417170617
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417183892
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417206731
executed,command,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.project.properties",1334417206746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417216653
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417218181
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110427-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1334417218197
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.delete",1334417218197
closed,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1334417218197
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.I20110504-0744,"org.eclipse.cdt.mylyn.ui",1334417218306
closed,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1334417218400
closed,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1334417218431
closed,editor,org.eclipse.cdt.ui,5.3.0.201105021546,"org.eclipse.cdt.ui.editor.CEditor",1334417218447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417222456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417224390
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110427-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1334417224406
executed,command,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui.edit.delete",1334417224406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417306680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417360828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1334417371810
error,log,,,"Error: assertion failed: Operation was not prepared.",1334417401918
